#Number x y
##int float float
1 427.580 26.662
2 38.179 139.204
3 113.216 -19.674
4 80.793 -0.737
5 168.867 -45.043
6 24.339 194.961
7 291.616 -16.767
  
9 53.059 54.082
10 284.854 -85.151
11 119.787 -96.488
12 358.881 92.067
13 479.870 27.114
14 154.306 -84.022
15 207.077 237.172
16 337.906 234.332
17 393.574 261.788
18 426.812 5.605
19 409.772 0.227
20 95.702 35.513
  
22 182.104 4.770
  
24 190.652 -110.737
25 134.446 107.362
26 238.088 -81.042
  
28 123.950 32.216
  
30 165.289 218.759
31 67.968 188.407
32 179.692 79.141
33 154.166 162.511
34 212.239 169.032
35 371.963 263.334
36 154.042 -46.999
37 123.555 150.778
38 192.932 20.614
39 154.550 149.070
40 76.317 29.809
41 352.885 43.599
42 417.108 -44.411
  
44 113.831 253.659
45 86.202 -107.610
46 336.788 -39.042
  
48 9.031 207.260
49 101.543 -37.310
50 241.931 38.295
51 348.878 101.515
52 454.260 103.724
53 45.129 197.040
